time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446250000	16.5345	4.47761	5.14231	0.679804	0.327263	radar	0.566873	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7121	4.65686	5.13492	0.705311	0.336423	lidar	0.644537	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8759	4.84941	5.10377	0.743675	0.365747	radar	5.57257	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0404	5.07513	5.11733	0.782352	0.38508	lidar	1.26334	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.213	5.24951	5.10071	0.803725	0.390558	radar	1.93502	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3729	5.44117	5.09387	0.82847	0.395864	lidar	0.365483	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5314	5.61971	5.07029	0.851723	0.403928	radar	3.73128	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7223	5.76158	5.05493	0.851497	0.384868	lidar	1.38781	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8672	5.96604	5.03851	0.884665	0.404403	radar	2.06094	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0404	6.1575	5.04537	0.899727	0.399174	lidar	0.3918	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1879	6.36769	5.0454	0.926213	0.407116	radar	0.773312	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3116	6.5993	5.05012	0.960532	0.420309	lidar	0.76085	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4424	6.81645	5.04478	0.989744	0.431301	radar	0.554424	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5901	6.97175	5.00865	0.994104	0.416348	lidar	2.60267	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.734	7.18107	5.01547	1.01012	0.409729	radar	0.248511	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.926	7.33084	4.99913	0.998948	0.380253	lidar	4.08885	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0148	7.55014	4.97015	1.03896	0.408362	radar	5.16601	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1104	7.79548	4.97962	1.07404	0.421936	lidar	0.872626	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2266	8.01064	4.97525	1.09437	0.421681	radar	0.339685	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3091	8.22459	4.9543	1.1221	0.428789	lidar	2.06835	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4037	8.44321	4.94695	1.14372	0.427479	radar	2.50795	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4989	8.60657	4.89149	1.15402	0.419221	lidar	5.86881	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5851	8.82754	4.88018	1.18043	0.427924	radar	0.988238	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7441	9.00165	4.86307	1.17128	0.399886	lidar	4.59892	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8134	9.23394	4.85436	1.20462	0.417889	radar	1.24602	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9447	9.44518	4.85798	1.20819	0.401502	lidar	2.4522	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9878	9.67966	4.83982	1.25004	0.430835	radar	3.43686	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.079	9.90403	4.84059	1.26509	0.42473	lidar	0.333025	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1353	10.1517	4.85217	1.29189	0.427986	radar	6.61867	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1885	10.4027	4.86453	1.3194	0.433213	lidar	0.277644	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2049	10.6438	4.85061	1.36218	0.460704	radar	3.62839	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2671	10.8981	4.87006	1.38259	0.457513	lidar	1.19653	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2947	11.1504	4.87843	1.41174	0.462648	radar	4.73326	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3301	11.3847	4.87194	1.43419	0.46228	lidar	0.0784877	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2816	11.6356	4.85436	1.4988	0.516451	radar	12.4981	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3526	11.8727	4.85977	1.50517	0.498345	lidar	3.89731	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3719	12.1093	4.85926	1.52032	0.481775	radar	3.24768	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3639	12.3786	4.88256	1.55229	0.487918	lidar	0.850766	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3168	12.6202	4.86923	1.60392	0.525333	radar	4.3404	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3408	12.8595	4.86854	1.61809	0.514358	lidar	1.38789	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3247	13.0954	4.86028	1.64734	0.521696	radar	2.31754	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2891	13.3149	4.83804	1.67718	0.526161	lidar	1.55185	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2471	13.5515	4.83471	1.70753	0.5296	radar	1.39437	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2287	13.8017	4.84539	1.72823	0.523872	lidar	0.871787	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1707	14.033	4.83774	1.76483	0.538996	radar	1.26336	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1187	14.28	4.84796	1.79251	0.539147	lidar	0.171189	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.045	14.5099	4.84393	1.82616	0.546348	radar	1.59423	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9421	14.7539	4.85887	1.86606	0.556876	lidar	1.45468	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8714	14.9749	4.84878	1.88945	0.549145	radar	3.35073	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.835	15.1979	4.83555	1.90314	0.53753	lidar	1.88832	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7047	15.413	4.83209	1.96617	0.592842	radar	9.0411	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.667	15.615	4.80028	1.978	0.57858	lidar	3.55095	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5668	15.8256	4.79299	2.00844	0.580687	radar	1.47852	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4651	16.0362	4.78752	2.0369	0.580455	lidar	0.0420839	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3582	16.2464	4.78411	2.05963	0.568832	radar	1.67983	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2455	16.4287	4.75801	2.08988	0.571776	lidar	1.28419	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1229	16.6293	4.75505	2.12095	0.575915	radar	0.376682	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
